City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sacramento,38.4666,-121.3177,82.78,48,0,13.8,US,1686797286
1,bethel,41.3712,-73.414,62.96,74,11,10.31,US,1686797185
2,dholka,22.7167,72.4667,84.58,65,46,24.07,IN,1686797824
3,iqaluit,63.7506,-68.5145,37.13,69,75,13.8,CA,1686797391
4,naracoorte,-36.9579,140.7383,56.12,87,98,16.69,AU,1686797824
5,waitangi,-43.9535,-176.5597,52.83,92,48,5.99,NZ,1686797377
6,tiksi,71.6872,128.8694,38.16,76,80,5.14,RU,1686797378
7,uturoa,-16.7333,-151.4333,80.8,83,76,14.83,PF,1686797390
8,yellowknife,62.456,-114.3525,63.12,48,75,11.5,CA,1686797221
9,iskateley,67.6803,53.1512,42.96,82,100,15.14,RU,1686797825
10,port-aux-francais,-49.35,70.2167,43.48,98,100,14.88,TF,1686797379
11,klyuchi,52.2667,79.1667,65.41,36,0,3.8,RU,1686797792
12,adamstown,-25.066,-130.1015,69.75,65,19,12.66,PN,1686797825
13,linkou,45.3,130.2833,65.25,89,100,2.46,CN,1686797825
14,suntar,62.1444,117.6319,49.84,95,100,6.4,RU,1686797826
15,wynyard,-41.0,145.7167,54.16,80,53,8.81,AU,1686797826
16,curillo,1.0333,-75.9191,69.96,99,100,2.42,CO,1686797826
17,georgetown,5.4112,100.3354,89.53,79,20,6.91,MY,1686797826
18,kingston,17.997,-76.7936,85.15,78,40,16.11,JM,1686797786
19,albany,42.6001,-73.9662,59.41,92,98,6.26,US,1686797589
20,atafu village,-8.5421,-172.5159,83.66,74,94,15.03,TK,1686797826
21,nemuro,43.3236,145.575,57.34,95,100,10.18,JP,1686797799
22,cles,46.3667,11.0333,57.25,93,19,3.71,IT,1686797826
23,aasiaat,68.7098,-52.8699,26.47,82,36,4.21,GL,1686797827
24,port elizabeth,-33.918,25.5701,55.69,69,0,8.05,ZA,1686797385
25,vorgashor,67.5833,63.95,35.55,91,100,15.01,RU,1686797383
26,ribeira grande,38.5167,-28.7,67.77,90,9,13.0,PT,1686797387
27,badger,64.8,-147.5333,60.67,48,75,8.05,US,1686797772
28,dudinka,69.4058,86.1778,51.62,46,42,13.73,RU,1686797392
29,westford,42.5793,-71.4378,60.51,89,75,1.01,US,1686797827
30,aswan,24.0934,32.907,85.3,24,0,10.36,EG,1686797828
31,minas de marcona,-15.2119,-75.1103,54.45,88,41,12.26,PE,1686797828
32,kosong,38.3788,128.4676,70.29,75,100,5.86,KR,1686797828
33,saipan,15.1355,145.701,90.3,100,40,14.97,MP,1686797386
34,igrim,63.1906,64.4162,47.75,43,29,13.76,RU,1686797828
35,sinop,41.7711,34.8709,57.25,90,10,4.9,TR,1686797828
36,kodiak,57.79,-152.4072,44.11,93,100,17.27,US,1686797386
37,port saint john's,-31.6229,29.5448,66.42,52,100,11.77,ZA,1686797457
38,sao joao da barra,-21.6403,-41.0511,72.25,89,0,12.06,BR,1686797411
39,whitehorse,60.7161,-135.0538,60.03,28,75,6.91,CA,1686797395
40,ingeniero jacobacci,-41.3427,-69.5448,43.5,82,100,5.55,AR,1686797829
41,taber,49.8167,-112.1518,51.66,84,84,18.41,CA,1686797829
42,constantia,44.1833,28.65,61.7,82,100,4.12,RO,1686797385
43,as sulayyil,20.4607,45.5779,91.65,12,6,7.43,SA,1686797829
44,uliastay,47.7417,96.8444,62.42,45,100,4.79,MN,1686797417
45,ushuaia,-54.8,-68.3,35.26,75,20,11.5,AR,1686797391
46,tolanaro,-25.0319,46.9987,62.67,88,0,2.3,MG,1686797407
47,susuman,62.7833,148.1667,62.19,50,90,11.88,RU,1686797777
48,muroto-misakicho,33.2833,134.15,69.73,93,100,18.66,JP,1686797830
49,utrik,11.2278,169.8474,81.81,81,74,20.33,MH,1686797387
50,puerto colombia,10.9878,-74.9547,84.29,83,100,6.02,CO,1686797413
51,balikpapan,-1.2675,116.8289,83.39,79,20,8.05,ID,1686797830
52,roudnice nad labem,50.4253,14.2618,53.04,100,25,2.24,CZ,1686797830
53,qaqortoq,60.7167,-46.0333,36.64,90,100,2.8,GL,1686797399
54,kavaratti,10.5669,72.642,85.01,72,95,17.87,IN,1686797452
55,saoner,21.3833,78.9,91.26,40,15,15.01,IN,1686797831
56,tashla,51.7716,52.7427,71.22,50,100,10.16,RU,1686797831
57,klaksvik,62.2266,-6.589,50.92,93,100,6.87,FO,1686797831
58,hermanus,-34.4187,19.2345,50.81,86,99,8.72,ZA,1686797390
59,blackmans bay,-43.0167,147.3167,58.73,69,100,4.52,AU,1686797384
60,georgiyevka,43.0369,74.7114,77.04,27,0,13.42,KZ,1686797831
61,newman,37.3138,-121.0208,88.14,53,72,3.0,US,1686797432
62,smigiel,52.0134,16.527,58.75,90,100,4.7,PL,1686797832
63,tazovsky,67.4667,78.7,34.36,97,100,12.73,RU,1686797395
64,puerto natales,-51.7236,-72.4875,34.97,80,39,6.4,CL,1686797378
65,westport,41.1415,-73.3579,65.75,80,20,13.8,US,1686797777
66,edinburgh of the seven seas,-37.0676,-12.3116,58.68,79,95,35.01,SH,1686797382
67,yamaga,33.0167,130.6833,84.83,50,30,5.19,JP,1686797832
68,nasiriyah,31.0521,46.261,91.18,20,0,9.75,IQ,1686797832
69,whakatane,-37.9585,176.9854,59.5,62,0,3.09,NZ,1686797832
70,plaza huincul,-38.926,-69.2086,51.82,17,70,2.19,AR,1686797833
71,port mathurin,-19.6833,63.4167,76.01,68,81,18.81,MU,1686797397
72,kihancha,-1.1838,34.6262,61.68,90,100,4.18,KE,1686797833
73,isafjordur,66.0755,-23.124,54.43,87,100,8.19,IS,1686797386
74,vernon,50.2581,-119.2691,63.3,55,100,4.0,CA,1686797630
75,biloela,-24.4167,150.5,73.67,26,0,3.65,AU,1686797833
76,avarua,-21.2078,-159.775,75.25,88,100,5.75,CK,1686797417
77,bubaque,11.2833,-15.8333,82.02,81,100,12.66,GW,1686797833
78,ban dan lan hoi,17.0068,99.575,83.86,78,100,4.36,TH,1686797833
79,yomju-up,39.8933,124.5981,76.62,57,1,6.15,KP,1686797834
80,haiku-pauwela,20.9219,-156.3051,84.22,48,20,19.57,US,1686797416
81,longyearbyen,78.2186,15.6401,35.44,75,75,17.27,SJ,1686797407
82,bredasdorp,-34.5322,20.0403,50.18,93,99,3.89,ZA,1686797388
83,lihue,21.9789,-159.3672,83.44,78,100,13.8,US,1686797392
84,grytviken,-54.2811,-36.5092,26.47,80,46,11.7,GS,1686797834
85,adh dhayd,25.2881,55.8816,88.52,53,15,10.33,AE,1686797834
86,melekeok village,7.4957,134.6367,82.96,83,100,10.36,PW,1686797834
87,harper,4.375,-7.7169,75.92,76,99,4.36,LR,1686797835
88,arteche,12.2645,125.4048,85.5,71,100,5.53,PH,1686797400
89,waat,51.1454,6.4958,59.77,79,0,2.3,DE,1686797835
90,tomakomai,42.6369,141.6033,66.34,82,75,12.66,JP,1686797835
91,callao,-12.0667,-77.15,70.72,78,100,12.66,PE,1686797415
92,crane,31.3974,-102.3501,87.51,15,95,3.56,US,1686797422
93,papatowai,-46.5619,169.4708,51.62,66,100,4.74,NZ,1686797383
